no,date,whose,shop,item,price
1,2016/12/24,A,shop1,food1,100
2,2016/12/25,B,shop2,food2,100
3,2016/12/26,C,shop3,food3,100
4,2016/12/27,D,shop2,food4,100
5,2016/12/28,A,shop2,food5,100
6,2016/12/29,D,shop3,food6,100
7,2016/12/30,C,shop1,food7,100
8,2016/12/31,B,shop4,food8,100
9,2017/1/1,A,shop1,food2,100
10,2016/12/29,D,shop3,food3,100
11,2016/12/30,B,shop4,food4,100
12,2016/12/31,D,shop1,food9,100
13,2017/1/1,B,shop4,food10,100
14,2017/1/2,B,shop2,food10,100
15,2017/1/3,A,shop2,food2,100
16,2017/1/4,D,shop3,food3,100
17,2017/1/5,D,shop1,food4,100
18,2017/1/6,B,shop4,food1,100
19,2017/1/7,C,shop4,food3,100
20,2017/1/8,B,shop5,food1,100
21,2017/1/9,A,shop2,food5,100
22,2017/1/10,D,shop3,food3,100
23,2017/1/11,D,shop1,food9,100
24,2017/1/12,D,shop1,food9,100
25,2017/1/13,D,shop1,food9,100
